filename,codepoint,sagitype,smufl_class,sagispeak
accSagittalDoubleSharp.png,U+E334,/X\,accSagittalDoubleSharp,doublesharp
accSagittalDoubleSharp19sDown.png,U+E3EE,(X~,accSagittalDoubleSharp19sDown,raodoublesharp
accSagittalDoubleSharp5v7kDown.png,U+E332,/X),accSagittalDoubleSharp5v7kDown,naodoublesharp
accSagittalDoubleSharp17kDown.png,U+E3EC,)//X,accSagittalDoubleSharp17kDown,saodoublesharp
accSagittalDoubleSharp7v11kDown.png,U+E366,//X,accSagittalDoubleSharp7v11kDown,ranaodoublesharp
accSagittalDoubleSharp143CDown.png,U+E3EA,~X\,accSagittalDoubleSharp143CDown,slaodoublesharp
accSagittalDoubleSharp17CDown.png,U+E364,(X(,accSagittalDoubleSharp17CDown,sanaodoublesharp
accSagittalDoubleSharp23CDown.png,U+E386,/X~,accSagittalDoubleSharp23CDown,zaodoublesharp
accSagittalDoubleSharp11v49CDown.png,U+E3E8,~X),accSagittalDoubleSharp11v49CDown,shaodoublesharp
accSagittalDoubleSharp19CDown.png,U+E3E6,(X,accSagittalDoubleSharp19CDown,razaodoublesharp
accSagittalDoubleSharp5CDown.png,U+E330,X\,accSagittalDoubleSharp5CDown,paodoublesharp
accSagittalDoubleSharp5v19CDown.png,U+E384,)X),accSagittalDoubleSharp5v19CDown,praodoublesharp
accSagittalDoubleSharp7CDown.png,U+E32E,X),accSagittalDoubleSharp7CDown,taodoublesharp
accSagittalDoubleSharp7v19CDown.png,U+E3E4,)/X,accSagittalDoubleSharp7v19CDown,rataodoublesharp
accSagittalDoubleSharp55CDown.png,U+E362,/X,accSagittalDoubleSharp55CDown,kaodoublesharp
accSagittalDoubleSharp7v11CDown.png,U+E360,)X~,accSagittalDoubleSharp7v11CDown,jaodoublesharp
accSagittalDoubleSharp49SDown.png,U+E3E2,~~X,accSagittalDoubleSharp49SDown,sataodoublesharp
accSagittalDoubleSharp5v23SDown.png,U+E382,X~,accSagittalDoubleSharp5v23SDown,pazaodoublesharp
accSagittalDoubleSharp5v11SDown.png,U+E35E,~X(,accSagittalDoubleSharp5v11SDown,janaodoublesharp
accSagittalDoubleSharp23SDown.png,U+E3E0,)~X,accSagittalDoubleSharp23SDown,sakaodoublesharp
accSagittalDoubleSharp25SDown.png,U+E32C,)X(,accSagittalDoubleSharp25SDown,faodoublesharp
accSagittalSharp5v13LUp.png,U+E3DC,)|||\\,accSagittalSharp5v13LUp,rachaisharp
accSagittalSharp35LUp.png,U+E32A,(|||\,accSagittalSharp35LUp,daisharp
accSagittalSharp11v19LUp.png,U+E3DA,|||\\,accSagittalSharp11v19LUp,chaisharp
accSagittalSharp11LUp.png,U+E328,(|||),accSagittalSharp11LUp,waisharp
accSagittalSharp49LUp.png,U+E3D8,|||\),accSagittalSharp49LUp,ktaisharp
accSagittalSharp5v49MUp.png,U+E3D6,)/|||\,accSagittalSharp5v49MUp,vraisharp
accSagittalSharp49MUp.png,U+E3D4,(/|||,accSagittalSharp49MUp,jpaisharp
accSagittalSharp11MUp.png,U+E326,/|||\,accSagittalSharp11MUp,vaisharp
accSagittalSharp11v19MUp.png,U+E3D2,(|||~,accSagittalSharp11v19MUp,jazaisharp
accSagittalSharp35MUp.png,U+E324,/|||),accSagittalSharp35MUp,gaisharp
accSagittalSharp5v13MUp.png,U+E3D0,)//|||,accSagittalSharp5v13MUp,fraisharp
accSagittalSharp25SUp.png,U+E322,//|||,accSagittalSharp25SUp,faisharp
accSagittalSharp23SUp.png,U+E3CE,~|||\,accSagittalSharp23SUp,sakaisharp
accSagittalSharp5v11SUp.png,U+E35C,(|||(,accSagittalSharp5v11SUp,janaisharp
accSagittalSharp5v23SUp.png,U+E380,/|||~,accSagittalSharp5v23SUp,pazaisharp
accSagittalSharp49SUp.png,U+E3CC,~|||),accSagittalSharp49SUp,sataisharp
accSagittalSharp7v11CUp.png,U+E35A,(|||,accSagittalSharp7v11CUp,jaisharp
accSagittalSharp55CUp.png,U+E358,|||\,accSagittalSharp55CUp,kaisharp
accSagittalSharp7v19CUp.png,U+E3CA,)|||),accSagittalSharp7v19CUp,rataisharp
accSagittalSharp7CUp.png,U+E320,|||),accSagittalSharp7CUp,taisharp
accSagittalSharp5v19CUp.png,U+E37E,)/|||,accSagittalSharp5v19CUp,praisharp
accSagittalSharp5CUp.png,U+E31E,/|||,accSagittalSharp5CUp,paisharp
accSagittalSharp19CUp.png,U+E3C8,)|||~,accSagittalSharp19CUp,razaisharp
accSagittalSharp11v49CUp.png,U+E3C6,~~|||,accSagittalSharp11v49CUp,shaisharp
accSagittalSharp23CUp.png,U+E37C,|||~,accSagittalSharp23CUp,zaisharp
accSagittalSharp17CUp.png,U+E356,~|||(,accSagittalSharp17CUp,sanaisharp
accSagittalSharp143CUp.png,U+E3C4,)~|||,accSagittalSharp143CUp,slaisharp
accSagittalSharp7v11kUp.png,U+E354,)|||(,accSagittalSharp7v11kUp,ranaisharp
accSagittalSharp17kUp.png,U+E3C2,~|||,accSagittalSharp17kUp,saisharp
accSagittalSharp5v7kUp.png,U+E31C,|||(,accSagittalSharp5v7kUp,naisharp
accSagittalSharp19sUp.png,U+E3C0,)|||,accSagittalSharp19sUp,raisharp
accSagittalSharp.png,U+E318,/||\,accSagittalSharp,sharp
